timestamp,speed,count,duration
2015-06-05 18:14:10.263443,10,207,0:20:46.624275
2015-06-05 18:14:10.559423,,208,0:20:46.920255
2015-06-05 18:14:20.393651,13,209,0:20:56.754483
2015-06-05 18:14:58.100579,18,210,0:21:34.461411
2015-06-05 18:15:01.828707,17,211,0:21:38.189539
2015-06-05 18:15:03.180454,17,212,0:21:39.541286
2015-06-05 18:15:05.252273,19,213,0:21:41.613105
2015-06-05 18:15:05.444411,,214,0:21:41.805243
2015-06-05 18:15:08.452378,18,215,0:21:44.813210
2015-06-05 18:15:11.652241,19,216,0:21:48.013073
2015-06-05 18:15:34.209166,16,217,0:22:10.569998
2015-06-05 18:15:43.333421,10,218,0:22:19.694253
2015-06-05 18:15:50.004811,,219,0:22:26.365643
2015-06-05 18:15:52.261114,21,220,0:22:28.621946
2015-06-05 18:16:05.507357,15,221,0:22:41.868189
2015-06-05 18:16:08.923278,14,222,0:22:45.284110
2015-06-05 18:16:20.740232,23,223,0:22:57.101064
2015-06-05 18:16:39.764966,,224,0:23:16.125798
2015-06-05 18:16:53.251380,19,225,0:23:29.612212
2015-06-05 18:17:00.012554,14,226,0:23:36.373386
2015-06-05 18:17:00.196569,,227,0:23:36.557401
2015-06-05 18:17:02.500458,14,228,0:23:38.861290
2015-06-05 18:17:02.676611,,229,0:23:39.037443
2015-06-05 18:17:05.020360,19,230,0:23:41.381192
2015-06-05 18:17:07.091880,14,231,0:23:43.452712
2015-06-05 18:17:11.164136,12,232,0:23:47.524968
2015-06-05 18:17:13.540170,13,233,0:23:49.901002
2015-06-05 18:17:40.966016,15,234,0:24:17.326848
2015-06-05 18:17:47.645912,10,235,0:24:24.006744
2015-06-05 18:17:52.894520,19,236,0:24:29.255352
2015-06-05 18:17:57.601671,16,237,0:24:33.962503
2015-06-05 18:17:59.705720,13,238,0:24:36.066552
2015-06-05 18:18:02.993659,21,239,0:24:39.354491
2015-06-05 18:18:04.561606,15,240,0:24:40.922438
2015-06-05 18:18:07.761510,13,241,0:24:44.122342
2015-06-05 18:18:19.889977,13,242,0:24:56.250809
2015-06-05 18:18:49.786852,9,243,0:25:26.147684
2015-06-05 18:18:52.346741,18,244,0:25:28.707573
2015-06-05 18:18:54.122690,18,245,0:25:30.483522
2015-06-05 18:19:09.175968,20,246,0:25:45.536800
2015-06-05 18:19:10.455908,,247,0:25:46.816740
2015-06-05 18:19:11.543797,18,248,0:25:47.904629
2015-06-05 18:19:11.791736,,249,0:25:48.152568
2015-06-05 18:19:14.807838,18,250,0:25:51.168670
2015-06-05 18:19:18.655740,15,251,0:25:55.016572
2015-06-05 18:19:20.823595,15,252,0:25:57.184427
2015-06-05 18:19:31.983344,,253,0:26:08.344176
2015-06-05 18:19:54.302931,18,254,0:26:30.663763
2015-06-05 18:19:56.830925,16,255,0:26:33.191757
2015-06-05 18:19:57.462821,,256,0:26:33.823653
2015-06-05 18:19:59.318841,,257,0:26:35.679673
2015-06-05 18:20:01.409428,16,258,0:26:37.770260
2015-06-05 18:20:01.630995,,259,0:26:37.991827
2015-06-05 18:20:05.516427,18,260,0:26:41.877259
2015-06-05 18:20:07.988361,22,261,0:26:44.349193
2015-06-05 18:20:22.695229,17,262,0:26:59.056061
